Change Component Physical Designator: Old Designator=Beep1 New Designator=Beep1.2
Change Component Physical Designator: Old Designator=C1 New Designator=C1.2
Change Component Physical Designator: Old Designator=C1 New Designator=C1.4
Change Component Physical Designator: Old Designator=C1 New Designator=C1.8
Change Component Physical Designator: Old Designator=C1 New Designator=C1.9
Change Component Physical Designator: Old Designator=C2 New Designator=C2.4
Change Component Physical Designator: Old Designator=C2 New Designator=C2.9
Change Component Physical Designator: Old Designator=C3 New Designator=C3.4
Change Component Physical Designator: Old Designator=C3 New Designator=C3.9
Change Component Physical Designator: Old Designator=C4 New Designator=C4.4
Change Component Physical Designator: Old Designator=C4 New Designator=C4.9
Change Component Physical Designator: Old Designator=C5 New Designator=C5.4
Change Component Physical Designator: Old Designator=C5 New Designator=C5.9
Change Component Physical Designator: Old Designator=C6 New Designator=C6.4
Change Component Physical Designator: Old Designator=C6 New Designator=C6.9
Change Component Physical Designator: Old Designator=C7 New Designator=C7.4
Change Component Physical Designator: Old Designator=C7 New Designator=C7.9
Change Component Physical Designator: Old Designator=C8 New Designator=C8.9
Change Component Physical Designator: Old Designator=C9 New Designator=C9.9
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Reset Component Physical Designator: Old Designator=C? New Designator=C?
Change Component Physical Designator: Old Designator=D1 New Designator=D1.2
Change Component Physical Designator: Old Designator=D1 New Designator=D1.4
Change Component Physical Designator: Old Designator=D1 New Designator=D1.8
Change Component Physical Designator: Old Designator=D1 New Designator=D1.9
Change Component Physical Designator: Old Designator=D2 New Designator=D2.9
Change Component Physical Designator: Old Designator=D3 New Designator=D3.9
Change Component Physical Designator: Old Designator=D4 New Designator=D4.9
Reset Component Physical Designator: Old Designator=D? New Designator=D?
Reset Component Physical Designator: Old Designator=F? New Designator=F?
Change Component Physical Designator: Old Designator=J1 New Designator=J1.8
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=J? New Designator=J?
Reset Component Physical Designator: Old Designator=L? New Designator=L?
Reset Component Physical Designator: Old Designator=L? New Designator=L?
Reset Component Physical Designator: Old Designator=L? New Designator=L?
Change Component Physical Designator: Old Designator=Q1 New Designator=Q1.2
Change Component Physical Designator: Old Designator=R1 New Designator=R1.2
Change Component Physical Designator: Old Designator=R1 New Designator=R1.4
Change Component Physical Designator: Old Designator=R1 New Designator=R1.8
Change Component Physical Designator: Old Designator=R1 New Designator=R1.9
Change Component Physical Designator: Old Designator=R2 New Designator=R2.2
Change Component Physical Designator: Old Designator=R2 New Designator=R2.8
Change Component Physical Designator: Old Designator=R2 New Designator=R2.9
Change Component Physical Designator: Old Designator=R3 New Designator=R3.2
Change Component Physical Designator: Old Designator=R3 New Designator=R3.8
Change Component Physical Designator: Old Designator=R3 New Designator=R3.9
Change Component Physical Designator: Old Designator=R4 New Designator=R4.9
Change Component Physical Designator: Old Designator=R6 New Designator=R6.9
Change Component Physical Designator: Old Designator=R8 New Designator=R8.9
Change Component Physical Designator: Old Designator=R9 New Designator=R9.9
Change Component Physical Designator: Old Designator=R10 New Designator=R10.9
Change Component Physical Designator: Old Designator=R11 New Designator=R11.9
Change Component Physical Designator: Old Designator=R12 New Designator=R12.9
Change Component Physical Designator: Old Designator=R13 New Designator=R13.9
Change Component Physical Designator: Old Designator=R14 New Designator=R14.9
Change Component Physical Designator: Old Designator=R17 New Designator=R17.9
Change Component Physical Designator: Old Designator=R18 New Designator=R18.9
Change Component Physical Designator: Old Designator=R19 New Designator=R19.9
Change Component Physical Designator: Old Designator=R20 New Designator=R20.9
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
Reset Component Physical Designator: Old Designator=R? New Designator=R?
